datetime,hour,day_of_week,is_weekend,temperature_C,humidity_percent,previous_consumption_kWh,consumption_kWh
2025-01-01 00:00:00,0,2,0,18.95,69.73,0.888,0.888
2025-01-01 01:00:00,1,2,0,19.29,62.81,0.888,1.135
2025-01-01 02:00:00,2,2,0,21.68,59.57,1.135,1.262
2025-01-01 03:00:00,3,2,0,24.03,61.76,1.262,1.892
2025-01-01 04:00:00,4,2,0,22.19,62.4,1.892,1.621
2025-01-01 05:00:00,5,2,0,22.68,60.59,1.621,1.241
2025-01-01 06:00:00,6,2,0,25.58,64.02,1.241,3.056
2025-01-01 07:00:00,7,2,0,24.19,66.43,3.056,2.179
2025-01-01 08:00:00,8,2,0,21.83,63.98,2.179,2.887
2025-01-01 09:00:00,9,2,0,22.56,70.34,2.887,2.607
2025-01-01 10:00:00,10,2,0,20.01,59.28,2.607,2.095
2025-01-01 11:00:00,11,2,0,18.8,64.99,2.095,2.521
2025-01-01 12:00:00,12,2,0,18.57,62.56,2.521,1.913
2025-01-01 13:00:00,13,2,0,14.04,60.43,1.913,1.901
2025-01-01 14:00:00,14,2,0,13.12,70.09,1.901,2.089
2025-01-01 15:00:00,15,2,0,13.83,69.33,2.089,2.449
2025-01-01 16:00:00,16,2,0,12.36,78.68,2.449,1.738
2025-01-01 17:00:00,17,2,0,13.85,73.08,1.738,1.317
2025-01-01 18:00:00,18,2,0,11.84,66.4,1.317,3.204
2025-01-01 19:00:00,19,2,0,11.26,81.26,3.204,3.338
2025-01-01 20:00:00,20,2,0,16.07,74.25,3.338,3.384
2025-01-01 21:00:00,21,2,0,14.33,72.44,3.384,2.859
2025-01-01 22:00:00,22,2,0,15.81,67.22,2.859,2.779
2025-01-01 23:00:00,23,2,0,14.78,64.38,2.779,3.099
2025-01-02 00:00:00,0,3,0,17.6,65.06,3.099,0.898
2025-01-02 01:00:00,1,3,0,19.87,70.54,0.898,1.253
2025-01-02 02:00:00,2,3,0,19.19,75.07,1.253,1.413
2025-01-02 03:00:00,3,3,0,22.51,70.71,1.413,1.523
2025-01-02 04:00:00,4,3,0,21.84,61.08,1.523,1.354
2025-01-02 05:00:00,5,3,0,22.81,57.16,1.354,1.584
2025-01-02 06:00:00,6,3,0,22.51,63.7,1.584,1.761
2025-01-02 07:00:00,7,3,0,26.02,51.34,1.761,3.043
2025-01-02 08:00:00,8,3,0,22.72,64.44,3.043,2.73
2025-01-02 09:00:00,9,3,0,20.36,63.97,2.73,2.479
2025-01-02 10:00:00,10,3,0,22.15,60.95,2.479,2.133
2025-01-02 11:00:00,11,3,0,17.88,58.73,2.133,2.301
2025-01-02 12:00:00,12,3,0,18.73,68.59,2.301,2.149
2025-01-02 13:00:00,13,3,0,14.18,66.99,2.149,2.293
2025-01-02 14:00:00,14,3,0,13.92,64.01,2.293,1.994
2025-01-02 15:00:00,15,3,0,15.17,54.5,1.994,2.138
2025-01-02 16:00:00,16,3,0,15.19,68.71,2.138,2.271
2025-01-02 17:00:00,17,3,0,13.84,78.79,2.271,2.064
2025-01-02 18:00:00,18,3,0,13.24,78.71,2.064,3.17
2025-01-02 19:00:00,19,3,0,13.13,68.21,3.17,3.256
2025-01-02 20:00:00,20,3,0,11.87,68.5,3.256,3.262
2025-01-02 21:00:00,21,3,0,13.8,72.31,3.262,2.463
2025-01-02 22:00:00,22,3,0,15.22,63.83,2.463,3.172
2025-01-02 23:00:00,23,3,0,18.7,67.55,3.172,2.726
2025-01-03 00:00:00,0,4,0,19.13,69.52,2.726,1.472
2025-01-03 01:00:00,1,4,0,17.27,73.32,1.472,1.649
2025-01-03 02:00:00,2,4,0,21.61,63.21,1.649,1.022
2025-01-03 03:00:00,3,4,0,21.58,62.72,1.022,1.233
2025-01-03 04:00:00,4,4,0,21.93,59.06,1.233,1.41
2025-01-03 05:00:00,5,4,0,24.37,57.37,1.41,1.507
2025-01-03 06:00:00,6,4,0,25.17,59.73,1.507,3.225
2025-01-03 07:00:00,7,4,0,24.85,62.96,3.225,2.582
2025-01-03 08:00:00,8,4,0,21.69,68.22,2.582,2.478
2025-01-03 09:00:00,9,4,0,21.69,59.63,2.478,2.776
2025-01-03 10:00:00,10,4,0,21.62,71.17,2.776,1.818
2025-01-03 11:00:00,11,4,0,21.38,62.54,1.818,2.091
2025-01-03 12:00:00,12,4,0,17.9,66.57,2.091,2.314
2025-01-03 13:00:00,13,4,0,17.05,63.63,2.314,2.167
2025-01-03 14:00:00,14,4,0,14.46,57.31,2.167,2.211
2025-01-03 15:00:00,15,4,0,13.29,74.79,2.211,2.057
2025-01-03 16:00:00,16,4,0,15.51,72.28,2.057,1.74
2025-01-03 17:00:00,17,4,0,15.82,66.93,1.74,2.105
2025-01-03 18:00:00,18,4,0,13.51,70.53,2.105,3.755
2025-01-03 19:00:00,19,4,0,15.3,71.34,3.755,3.205
2025-01-03 20:00:00,20,4,0,14.83,61.32,3.205,3.14
2025-01-03 21:00:00,21,4,0,14.12,67.06,3.14,3.148
2025-01-03 22:00:00,22,4,0,16.66,71.64,3.148,2.564
2025-01-03 23:00:00,23,4,0,19.63,59.02,2.564,3.236
2025-01-04 00:00:00,0,5,1,18.77,67.45,3.236,1.766
2025-01-04 01:00:00,1,5,1,22.47,56.24,1.766,2.108
2025-01-04 02:00:00,2,5,1,17.4,69.42,2.108,1.532
2025-01-04 03:00:00,3,5,1,23.59,61.95,1.532,2.215
2025-01-04 04:00:00,4,5,1,23.29,54.3,2.215,2.026
2025-01-04 05:00:00,5,5,1,23.21,68.26,2.026,2.063
2025-01-04 06:00:00,6,5,1,23.96,58.16,2.063,2.792
2025-01-04 07:00:00,7,5,1,20.67,60.41,2.792,2.788
2025-01-04 08:00:00,8,5,1,22.83,63.74,2.788,3.267
2025-01-04 09:00:00,9,5,1,22.9,68.43,3.267,3.11
2025-01-04 10:00:00,10,5,1,23.54,57.09,3.11,1.976
2025-01-04 11:00:00,11,5,1,19.34,65.83,1.976,2.26
2025-01-04 12:00:00,12,5,1,17.61,69.05,2.26,2.538
2025-01-04 13:00:00,13,5,1,16.78,71.04,2.538,2.677
2025-01-04 14:00:00,14,5,1,17.7,67.72,2.677,2.571
2025-01-04 15:00:00,15,5,1,15.78,66.54,2.571,2.844
2025-01-04 16:00:00,16,5,1,13.7,65.9,2.844,1.98
2025-01-04 17:00:00,17,5,1,14.77,69.62,1.98,2.411
2025-01-04 18:00:00,18,5,1,13.97,64.46,2.411,3.212
2025-01-04 19:00:00,19,5,1,15.45,54.03,3.212,3.74
2025-01-04 20:00:00,20,5,1,13.44,72.43,3.74,3.41
2025-01-04 21:00:00,21,5,1,14.8,73.68,3.41,3.43
2025-01-04 22:00:00,22,5,1,15.74,56.6,3.43,3.016
2025-01-04 23:00:00,23,5,1,15.34,63.68,3.016,3.48
2025-01-05 00:00:00,0,6,1,19.48,68.52,3.48,1.976
2025-01-05 01:00:00,1,6,1,20.72,74.71,1.976,1.846
2025-01-05 02:00:00,2,6,1,21.54,63.87,1.846,1.683
2025-01-05 03:00:00,3,6,1,22.22,59.59,1.683,1.905
2025-01-05 04:00:00,4,6,1,21.24,63.09,1.905,1.655
2025-01-05 05:00:00,5,6,1,23.23,69.29,1.655,2.139
2025-01-05 06:00:00,6,6,1,23.52,58.96,2.139,3.146
2025-01-05 07:00:00,7,6,1,22.66,58.88,3.146,3.118
2025-01-05 08:00:00,8,6,1,23.12,60.09,3.118,2.784
2025-01-05 09:00:00,9,6,1,23.17,57.69,2.784,3.165
2025-01-05 10:00:00,10,6,1,24.36,62.12,3.165,2.271
2025-01-05 11:00:00,11,6,1,20.59,72.65,2.271,2.683
2025-01-05 12:00:00,12,6,1,19.42,67.08,2.683,2.697
2025-01-05 13:00:00,13,6,1,17.63,65.64,2.697,2.133
2025-01-05 14:00:00,14,6,1,13.65,68.62,2.133,2.294
2025-01-05 15:00:00,15,6,1,15.46,60.82,2.294,2.469
2025-01-05 16:00:00,16,6,1,14.79,73.58,2.469,2.393
2025-01-05 17:00:00,17,6,1,17.9,66.29,2.393,2.073
2025-01-05 18:00:00,18,6,1,13.74,69.1,2.073,3.764
2025-01-05 19:00:00,19,6,1,14.65,85.24,3.764,3.613
2025-01-05 20:00:00,20,6,1,14.65,70.77,3.613,3.385
2025-01-05 21:00:00,21,6,1,13.74,66.25,3.385,3.136
2025-01-05 22:00:00,22,6,1,18.25,64.27,3.136,3.494
2025-01-05 23:00:00,23,6,1,18.87,71.65,3.494,3.574
2025-01-06 00:00:00,0,0,0,20.42,65.23,3.574,1.244
2025-01-06 01:00:00,1,0,0,19.17,58.47,1.244,1.197
2025-01-06 02:00:00,2,0,0,23.84,66.52,1.197,1.488
2025-01-06 03:00:00,3,0,0,20.67,61.12,1.488,1.321
2025-01-06 04:00:00,4,0,0,24.45,70.81,1.321,1.604
2025-01-06 05:00:00,5,0,0,27.35,64.52,1.604,2.933
